Name,ID,
PARAQUAT ,61601,9.090909091
ABAMECTIN ,122804,5
BETA-CYFLUTHRIN ,118831,395
BIFENTHRIN ,128825,24.54545455
CHLORANTRANILIPROLE ,90100,2272.727273
CHLORPYRIFOS ,59101,909.0909091
CYFLUTHRIN ,128831,395
EMAMECTIN BENZOATE ,122806,0
ESFENVALERATE ,109303,40
IMIDACLOPRID ,129099,59.54545455
LAMBDA-CYHALOTHRIN ,128897,25.45454545
METHOMYL ,90301,20.45454545
NALED ,34401,41.81818182
OXYDEMETON-METHYL ,58702,21.81818182
PERMETHRIN ,109701,213.6363636
THIAMETHOXAM,60109,710.4545455
ZETA-CYPERMETHRIN ,129064,113.6363636
DICHLOROPROPENE ,29001,0
DIAZINON ,57801,34.54545455
DIMETHOATE ,35001,27.27272727
DISULFOTON ,32501,1.045454545
FENPROPATHRIN ,127901,8.181818182
CYPERMETHRIN ,109702,8.181818182
PRONAMIDE ,101701,1522.727273
DIFLUBENZURON ,108201,359.0909091
GAMMA-CYHALOTHRIN ,128807,25
METHAMIDOPHOS ,101201,3.409090909
THIODICARB ,114501,30
